category,legacy_tool,legacy_concept,legacy_example,azure_devops_yaml,github_actions,notes
Pipeline definition,Jenkins,Jenkinsfile,"pipeline { stages { ... } }",azure-pipelines.yml at repo root,.github/workflows/*.yml,All three use YAML at repo root; ADO requires trigger block
Pipeline definition,Bamboo,bamboo-specs.yml,"plan: key: CI stages: - Build:",azure-pipelines.yml,No direct equivalent — convert to GHA workflow,Bamboo Specs are unique; nearest GHA equivalent is workflow_dispatch
Pipeline definition,GitLab,.gitlab-ci.yml,"stages: [build, deploy]",azure-pipelines.yml,.github/workflows/*.yml,Structural concepts are identical across all three
Trigger,Jenkins,SCM polling / webhook,"triggers { pollSCM('H/5 * * * *') }","trigger: branches: include: [main]","on: push: branches: [main]",Replace polling with push-based webhooks in both
Trigger,Bamboo,Plan triggers,"triggers: polling: period: 60","trigger: branches:","on: push:",Bamboo polling → webhook trigger in ADO/GHA
Trigger,GitLab,push / MR triggers,"only: [main] / rules: - if: $CI_COMMIT_BRANCH","trigger: pr: branches:","on: pull_request: push:",Near-identical model; GHA uses 'on' block
Trigger,Jenkins,Manual / parameterised build,"parameters { string(name:'ENV') }","parameters: - name: ENV type: string","on: workflow_dispatch: inputs: env:",ADO and GHA both support manual trigger with typed inputs
Stage grouping,Jenkins,stage,"stage('Build') { steps {...} }","stages: - stage: Build","jobs: build: (no stage wrapper)","GHA uses jobs as top-level grouping; no stage keyword"
Stage grouping,Bamboo,Bamboo stage,"stages: - Build: jobs: - TestAndPackage","stages: - stage: Build jobs:","jobs: with needs: dependency chain",ADO stages map directly; GHA uses needs: for ordering
Stage grouping,GitLab,stages array,"stages: [test, build, deploy]","stages: - stage: Test - stage: Build",jobs with ordering via needs:,GHA has no explicit stage; use needs: for DAG ordering
Job / task,Jenkins,steps block,"steps { sh './mvnw test' }","steps: - script: ./mvnw test","steps: - run: ./mvnw test",Identical concept; syntax differs slightly
Job / task,Bamboo,tasks block,"tasks: - script: ./mvnw test","steps: - task: Maven@4","steps: - uses: actions/setup-java then run: mvn",ADO has native Maven@4 task; GHA uses actions/setup-java
